date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:35:24	12323/12323	---M--	200	added ('OK')	image/png	etag:%22da2366779ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:24	49642/49642	---M--	200	added ('OK')	image/png	etag:%228b84fe6a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveOT.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveOT.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:25	10191/10191	---M--	200	added ('OK')	image/png	etag:%229a90dd35a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_sportBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_sportBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:25	43325/43325	---M--	200	added ('OK')	image/png	etag:%229f44ca77ab24d91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_sportOT.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_sportOT.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:25	15971/15971	---M--	200	added ('OK')	image/png	etag:%22f04a1f629ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_slotBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_slotBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:25	295537/295537	---M--	200	added ('OK')	image/png	etag:%22f6f13e31a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_slotOT.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_slotOT.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:25	33037/33037	---M--	200	added ('OK')	image/png	etag:%2219448e869ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_lotoKUBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_lotoKUBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:26	10943/10943	---M--	200	added ('OK')	image/png	etag:%225121e67a9ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveKUBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveKUBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:26	14076/14076	---M--	200	added ('OK')	image/png	etag:%22fa7290e9a3ed91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_sportHotBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_sportHotBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
20:35:26	277766/277766	---M--	200	added ('OK')	image/png	etag:%226a6952649ded91:0%22	https://vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveHotBG.png	F:/project/ad/vn2.ku6122.net/Areas/Mobile/Content/images/vi-vn/img_liveHotBG.png	(from https://vn2.ku6122.net/bundles/mobile_home.css?v=mr3gkP1Lid92Y3y8YazZy8B6JjauPhR7xLn0OIVffh81)
